,comment,macrolabel,microlabel,source
120,무슨 이유로 민주당이 호남을 차별한다고 생각하나요?? 메모들의 단점은 팩트가 없는 것입니다. 역시 메모,혐오발언,지역,온라인 댓글
121,내로남불 정권이 내로남불 하는 게 무'슨' 문제 '라도'?,혐오발언,지역,온라인 댓글
122,전라도 검은색버전,혐오발언,지역,온라인 댓글
123,어딘지 모르게 서울외에는 다 미개해 보이네 ~,혐오발언,지역,온라인 댓글
124,호남향우회 사무실에 지발로 찾아가놓고 십자가 있다고 교회인 줄 알았나보네. 착각과 무지는 ㅁㅈㅎ 막줄 마인드 보니까 쌍도라도 남들 전라도 동급으로 보는 그런 경북 삼천 오지 출신인듯......,혐오발언,지역,온라인 댓글
125,서울 ㅂㅅ새끼들 지들이 서울토박인줄 착각하는데 거기에 절반넘게 설라도야 븅신아 서울시장만봐도 보수아니고 민주당인거보면 니 본적까면 설라도니깐 입닫아라,혐오발언,지역,온라인 댓글
126,전라도 홍어놈년들은 홍어 좋아하더라 냄새 오지는데 미개하긴,혐오발언,지역,온라인 댓글
127,ㄹㅇ 7시였으면 허브 가져갔겠지,혐오발언,지역,온라인 댓글
128,경상도것들 조심해라,혐오발언,지역,온라인 댓글
129,"일베와서 이거 하나만 배워도 인생 반이상 성공한거다""전라도를 피해라""",혐오발언,지역,온라인 댓글
130,전라도 병신새끼들 ㅉㅉㅉ 부모님한테 나도 물어보니까 절때 지들은 전라도 사람이라고 말 안한다더라 쪽팔려서 ㅋㅋㅋ,혐오발언,지역,온라인 댓글
131,홍어새끼들아.. 니들이 저사람들 보고 느끼는 감정을 그대로 우리가 느끼고 있다..,혐오발언,지역,온라인 댓글
132,"전라도 개새끼들이 저런거는 반대해도 성욕이 뇌를 잠식해서 변태 성행위업소, 창녀촌 , 안마방 같은 곳은 좆나 많다",혐오발언,지역,온라인 댓글
133,촌은 어지간해선 다 그래촌에 별장지으면 돈 꽤나 있는놈이구나 하고 벗겨먹을라함촌사람들 순진하고 착하고 그런거 절때없음,혐오발언,지역,온라인 댓글
134,광주는전략적으로경상도 사람을 대통령후보로 올렸다.이정도의 전라도 구애 전략도 못견디고욕할 정도면 ㅉㅉㅉ,혐오발언,지역,온라인 댓글
135,저런 놈이 설칠수 있는건 문재앙 때문이고..문재앙이 저짓 할수있는건 전라도 때문임...ㅇㄱㄹㅇ...,혐오발언,지역,온라인 댓글
136,으따 우덜식 손님응대랑께,혐오발언,지역,온라인 댓글
137,씨발 역대급이다 싶음 전라도새끼네 ㅋㅋ,혐오발언,지역,온라인 댓글
138,홍어쉐리들 .많아졌네,혐오발언,지역,온라인 댓글
139,포항? 전라 멀티 된지 오래임,혐오발언,지역,온라인 댓글
140,개쌍도 걸고 넘어지는 라도새끼들도 문제지만설라도 사는 좆도 아닌 부심 부리는 새끼들도 좆같다.박원숭새끼 뽑아놔서 맨날 좆같은 꼴보는게 하루이틀도 아니더라.,혐오발언,지역,온라인 댓글
141,이건 라도에만 극한 된게 아니라 조센 전체의 상황 아님? 최근 이슈가 되고 있는 사건들 중 버닝 썬 이라던가 정민이 실종사건 ㄱㅊ이 한게 뭐 있냐? 정민이 같은 경우는 시신 마져도 정민이 아버지께서 고용한 분이 찾은 거 잖아 개 빙시리 ㄱㅊ 것들은 꼬챙이 들고 한강주변 땅이나 잰 종일 쳐 질러 찍고 있더라,혐오발언,지역,온라인 댓글
142,멍청도 새끼들도 싫어서 ㅁㅈㅎ즌라도 다음으로 싫다,혐오발언,지역,온라인 댓글
143,대구 이사가고싶다. 홍어들이 그나마 없잖아. 나중에 꼭 이사간다,혐오발언,지역,온라인 댓글
144,대구 새기들평균 수준이다 ㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
145,과수나뭇집 사이시옷 존나 억지스럽네 걍 과수나무집으로 발음 하는 걸 굳이 센발음 만들어 홍어스럽게 해야겠냐,혐오발언,지역,온라인 댓글
146,민주화수 올라가는거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋ 요즘 일베 호남향우회 다 됨 ㅋㅋㅋㅋ전라도 애미애비 뒤진 씹새끼들 특징 = 경상도만 지들 싫어하는줄 착각함. 현실은 전라도 빼고 전라도 다 싫어하는데 ㅋㅋㅋㅋ와 전라도 씹새끼들 공포영화가 따로 없네 ㄷㄷㄷ,혐오발언,지역,온라인 댓글
147,쌍도투어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아이고 머준이형,혐오발언,지역,온라인 댓글
148,딱 전라도 새끼ㅏ들이네,혐오발언,지역,온라인 댓글
149,쌍도새끼들은 회치는게 기본 패시브 스킬이노? 존나 부럽다이기,혐오발언,지역,온라인 댓글
150,전라도기떄문에 ^^,혐오발언,지역,온라인 댓글
151,마법의 단어 '전라도'는 어케 되노,혐오발언,지역,온라인 댓글
152,홍어도 안친 분향소 통수를 오늘 쌍도에서만 두번을보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
153,머구에서 젤 더러운게 영대 카르텔 이새끼들 완전 마피아 수준홍어들처럼 직장내에서도 지들끼리 뭉쳐다니며 파벌만듦,혐오발언,지역,온라인 댓글
154,쌍도와 라도 흐힛,혐오발언,지역,온라인 댓글
155,ㅋㅋㅋㅋ 전라도 씨발,혐오발언,지역,온라인 댓글
156,호남두여경두날강두전라두강간두애널두,혐오발언,지역,온라인 댓글
157,쌍도남 안 봐도 얼마나 빻았을지 상상이 가노,혐오발언,지역,온라인 댓글
158,그럼 전라도는 살기위해 더 필사적으로 이재명을 밀겠군일단 달래서 표받고 죽이자,혐오발언,지역,온라인 댓글
159,쌍도것들 풀발기 ㅋㅋ,혐오발언,지역,온라인 댓글
160,쌍도좆들 배터트려서 창자로 줄넘기 몇개할수 있는지 시키고 먼저 걸려 넘어진놈부터 총살하고 싶노ㅋㅋㅋ,혐오발언,지역,온라인 댓글
161,설라도가 이 글을 싫어합니다,혐오발언,지역,온라인 댓글
162,그 유명한 광주 조씨네 .............ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,혐오발언,지역,온라인 댓글
163,전라도애들은 왜 저렇게 다 똑같이 생겼냐 ?? 김연아 + 허1지웅 느낌 나네,혐오발언,지역,온라인 댓글
164,좆라도 깽깽이들은 탱크가 답ㅋㅋㅋ 미개해서 사람 살 곳이 못 됨 바퀴벌레 소굴,혐오발언,지역,온라인 댓글
165,전라도에선 일상이지,혐오발언,지역,온라인 댓글
166,아마 이 댓글에..전라디언 김씨들.. 모두 등판 할것 같은디...,혐오발언,지역,온라인 댓글
167,개미쳤네 이정도면 전라도 독립 시켜 버려야하는거 아니냐? 이딴식으로 할꺼면,혐오발언,지역,온라인 댓글
168,서울에서 굶어죽어???ㅋ ㅋㅋㅋ생 또라이같은년이 지방가서 유유자적 일하고 살면되지 꼭 지방 그지 새끼들마냥 되도않는 서울에 츠 기어가서 서울부심 부리고 앉았노 ㅋㅋ 잘뒤짐 캭 퉷~,혐오발언,지역,온라인 댓글
169,전라도 광주 끄덕끄덕,혐오발언,지역,온라인 댓글
170,홍어들이 웃기는점 민주화세대가 거의5~6 십대가 되었는데 틀딱이라고하니 자기들마음에 안들면 틀딱이냐?,혐오발언,지역,온라인 댓글
171,전라도 십새끼들 이를 악물고 경상도 80퍼 얘기하네ㅋㅋ,혐오발언,지역,온라인 댓글
172,우덜은 자지가 홍어맹기로 펄펄 뛰는디 으쩍헌대요????,혐오발언,지역,온라인 댓글
173,홍어 경찰이였으면 구조대 올때까졍 쪼까 기다리쇼잉 여러분 진정들 하쇼잉 이짓 했을듯ㅋㅋ,혐오발언,지역,온라인 댓글
174,대한민국이 선진국이 되려면 살인강간하는 전라도랑 코로나 퍼뜨리는 대구는 국경설치해서 봉쇄해야됨ㄹㅇ나오려는놈은 경고사격없이 조준사격으로 죽여버리고,혐오발언,지역,온라인 댓글
175,거기에 전라도까지,혐오발언,지역,온라인 댓글
176,씹탱들아니들은 아무나 호남상 호남상 그랬지?저게 바로 전형적인 전라도 면상이다아무한테나 호남상 타령하지 마라,혐오발언,지역,온라인 댓글
177,나도 봤어 인터뷰때 쌍도 사투리 쓰는거 보고 급호감^^,혐오발언,지역,온라인 댓글
178,지역감정 조장은 무조건 ㅇㅂ야..,혐오발언,지역,온라인 댓글
179,서울자체가 라도 멀티인데 무'슨' 지역감정이 ㅋㅋㅋ,혐오발언,지역,온라인 댓글
180,2005년인가 광주에서 적발된 부정행위자가 시발 전국 부정행위자 몇년치 합한 것보다 많더라 씨발럼들 ㅋㅋ,혐오발언,지역,온라인 댓글
181,식탐 성욕이 크지 식당 가서 맛타박 하는거 보면 9할이 라도,혐오발언,지역,온라인 댓글
182,저 더러운 쌍판떼기 왜 자꾸보이나. 욕나온다. 그리고 왜 화가 7시로 꽂힐까?n재수없는 삐딱한 7시 시계바늘.,혐오발언,지역,온라인 댓글
183,전라도....제발전라도....,혐오발언,지역,온라인 댓글
184,쌍도 ㅂㅅ들 존나 미개하지,혐오발언,지역,온라인 댓글
185,역겹다 전라도 새끼들,혐오발언,지역,온라인 댓글
186,쌍도새끼들 민주화준거봐라 ㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
187,좆라도새끼들 팡주폭도가 방화범이라고 뽀록난기사에 댓글좀 봐야겠다 ㅋㅋ,혐오발언,지역,온라인 댓글
188,분탕 잼~ 불구경 잼~ 그런데 광주화 버튼 누른 저것들은 진짜 뭐지?,혐오발언,지역,온라인 댓글
189,전라도인들은 사상이 뼛속부터 다른듯. 저게 인간이 할 짓이냐 ㅋㅋ,혐오발언,지역,온라인 댓글
190,딱 대한민국이 전라도에 흡수당하면 저럴수있겠다...,혐오발언,지역,온라인 댓글
191,지역감정? 니 주변에 너에게 좆같은 짓을 한 새끼가 있으면 고향이 어딘지 물어봐라 그리고 공통점을 찾아라 그럼 그게 지역감정이야,혐오발언,지역,온라인 댓글
192,조선시대 양반 - 전라도경상도 - 천민집단반박시 경상도,혐오발언,지역,온라인 댓글
193,"왜그러냐면 개쌍도새끼들은 매신져로 글쓸때도 표준으로쓰면 줫나 오글거려서 어쩔수없이 사투리를 섞는다 예를들면 누구한테 학교갔는지 물어볼따 ""학교갔어? 학교갔니?"" 이딴식으로쓰면 존나 견딜수없음 그래서 ""학교갔나?"" 이렇게 개쌍도말이 메신져에서도 나오는거",혐오발언,지역,온라인 댓글
194,키아! 홍어들 통수맞은 기분!,혐오발언,지역,온라인 댓글
195,이런글 재미도없고 홍어들이 불의도시다 통구이다이지랄 떠니까 올리지마라,혐오발언,지역,온라인 댓글
196,사실 백제는 충청도 아니냐??,혐오발언,지역,온라인 댓글
197,전라도의 알흠다운 미풍양속,혐오발언,지역,온라인 댓글
